Freguesia,Arrendamento médio 2006-2011,Numero de contratos celebrados,Rossio ponto zero dist,Rossio ponto zero minutos,Idade média dos edifícios,Numero médio de divisões,% de prédios sobrelotados,Densidade de Alojamentos / Km2,Densidade Populacional / Km2,Proporção da população que sai do municipio,Duração média desl. Pendulares,Encargo médio suportado na compra,Superficie média útil,Taxa de desemprego
            Alcabideche,452.29,1771,28.6,39,29.66,4.7,15.30%,497.62,1060.2,26.3,24.03,649.6,103.57,12.70%
            Carcavelos,541.02,1052,21.8,32,34.72,4.7,8.90%,2739.64,5177,54.6,28.77,634.8,104.29,10.40%
            Cascais,617.71,2294,26.2,35,31.69,5,12.00%,1120.45,1742.4,33.8,26.64,726.6,115.69,12.10%
            Estoril,570.1,1511,25.9,34,37.34,4.9,11.50%,1818.54,2987,39.86,27.95,675.1,112.52,12.70%
            Parede,552.41,929,23,37,37.72,4.9,9.20%,3368.48,6016.4,47.03,29.14,744.2,111.03,10.90%
            São Domingos de Rana,458.51,1897,20.4,31,27.55,4.7,12.60%,1279.59,2823.7,40.81,25.92,558.2,102.24,12.40%
            Ajuda,435.26,839,8,25,69.74,4.1,16.60%,3109.08,5456.9,15.48,25.48,653.4,68.85,15.60%
            Alcântara,476.8,1046,5.9,24,73.12,4.3,14.30%,2010.09,3142,14.19,23.72,679.9,75.79,11.40%
            Alto do Pina,532.86,534,3.8,15,50.43,4.6,11.60%,7293.05,12319.6,12.79,21.58,498.9,97.8,10.70%
            Alvalade,619.46,575,5.4,20,56.7,4.9,7.80%,9062.71,14898.5,13.25,19.94,740.6,105.22,8.70%
            Ameixoeira,392.64,487,12.9,27,38.88,4.3,16.10%,3888.03,7391.6,15.36,27.87,391.6,87.82,16.70%
            Anjos,515.14,850,2.4,12,75.73,4.8,11.50%,12429.28,19180.8,10.32,23.19,535.9,88.26,13.60%
            Beato,424.78,804,3.3,11,66.23,4.1,18.40%,4715.21,7670.9,11.31,25.45,366,69.31,16.40%
            Benfica,506.82,1637,10.5,28,44.74,4.4,11.80%,2673.89,4639.5,17.79,24.69,641.4,86.81,13.30%
            Campo Grande,595.33,367,7.3,23,47.43,4.9,8.50%,2541.56,4296.1,14.49,20.3,566.7,102.68,9.70%
            Campolide,469.73,1089,3.7,16,61.21,4.2,15.50%,3335.57,5571.9,12.91,22.2,612,78.96,12.60%
            Carnide,555.15,529,13.3,30,48.04,4.5,13.30%,2747.08,5736.2,15.94,23.1,681.1,102.15,11.00%
            Castelo,359.81,39,1.2,8,32.09,3.7,17.50%,6331.84,6440.7,17.79,25.65,,62.19,20.00%
            Charneca,375.48,504,16.4,27,36.83,4.3,22.40%,2626.55,5866.6,13.93,28.96,574.2,81.48,18.10%
            Coração de Jesus,586.21,321,2.2,11,74.05,5.1,9.40%,5178.1,6607.4,13.41,20.31,,94.32,9.70%
            Encarnação,497.92,210,1.9,13,95.32,4.6,10.80%,12084.77,11920.7,11.95,20.99,87.5,82.06,11.10%
            Graça,470.67,496,3.2,13,85.64,4.4,12.90%,11766.92,16507.9,9.69,24.9,598.9,73.03,14.20%
            Lapa,602.36,554,4.1,17,71.53,5.1,8.70%,7155.11,10806.3,12.16,19.94,626.1,106.12,8.70%
            Lumiar,590.72,1241,12.8,27,30.46,4.7,8.50%,3497.84,6705.6,15.46,22.89,643.4,109.49,8.10%
            Madalena,593.64,35,1.7,8,71.53,5.7,4.70%,3244.72,3400.5,12.5,21.96,396.9,114.94,13.80%
            Mártires,683.65,26,0.5,4,51.66,5.3,4.40%,3276.1,3738.4,15.04,21.21,683.2,126.79,6.50%
            Marvila,383.2,818,6.3,16,43.86,4.5,16.80%,2616.98,5977.6,11.17,25.91,469.4,81.19,16.80%
            Mercês,508.97,429,2.3,16,96.83,4.5,14.10%,12127.43,16203.5,10.53,21.68,566.1,80.67,13.90%
            Nossa Senhora de Fátima,604.55,820,4.3,18,52.13,5,10.60%,5473.53,8011.1,13.22,19.36,546.4,107.96,9.50%
            Pena,475.49,579,2.4,11,84.05,4.4,15.00%,7035.47,8971.3,11.95,23.57,716.7,73.6,14.40%
            Penha de França,518.93,1187,3.7,15,66.63,4.3,12.80%,12173.83,18708.7,12.19,24.44,426.9,76.48,11.30%
            Prazeres,516.41,525,3.6,22,72.47,4.6,14.20%,3158.48,5166.9,11.37,21.42,764,87.59,10.40%
            Sacramento,544.05,84,1.3,8,93,4.6,14.30%,8056.97,8714.7,10.62,22.33,575,85.24,11.30%
            Santa Catarina,507.6,411,1.6,13,104.53,4.4,14.30%,13893.83,17407.1,10.75,22.42,593.8,78.2,12.10%
            Santa Engrácia,434.42,483,3.6,13,69.81,4,15.10%,6425.06,9543.1,12.41,25.78,691.7,67.41,12.60%
            Santa Isabel,575.44,594,4,17,82.72,4.7,10.90%,6889.49,10964.2,11.7,19.63,830.4,97.58,9.10%
            Santa Justa,456.22,82,1.5,7,53.66,4.3,22.40%,2677.04,3614,5.44,22.04,,72.06,14.10%
            Santa Maria de Belém,548.5,518,7.6,25,65.52,4.9,9.80%,1536.56,2488.9,19.07,22.52,774,101.31,9.50%
            Santa Maria dos Olivais,530.68,1214,9.6,22,43.34,4.8,10.50%,2325.07,4548.5,16.39,24.05,636.7,97.2,12.10%
            Santiago,435.22,58,1,7,93.5,4.3,17.90%,8617.49,9542.4,12.41,26.53,,67.79,11.00%
            Santo Condestável,535.97,1201,3.8,16,65.14,4.3,12.40%,9239.9,14847.1,12.95,21.52,754.4,78.18,11.50%
            Santo Estêvão,391.2,245,1.1,7,99.25,3.5,21.90%,7723.84,7428.9,10.09,25.45,,51.06,14.90%
            Santos-o-Velho,524.69,486,2.7,18,95.15,4.6,14.40%,5456.6,7569.2,11.53,22.81,725,84.6,13.10%
            São Cristóvão e São Lourenço,409.41,145,1.8,10,88.32,3.9,18.60%,14050.02,17190.8,10.18,24.2,,60.8,17.00%
            São Domingos de Benfica,566.91,1430,6,22,46.1,4.6,8.90%,4701.98,7831.6,15.79,21.18,714.2,103.2,8.70%
            São Francisco Xavier,673.86,284,10.1,27,39.72,5.3,5.70%,1834.45,3484.7,19.01,20.82,684.4,127.73,7.20%
            São João,521.7,1171,3.7,16,62.83,4.2,14.20%,6312.53,10087.2,11.68,25.65,364.4,75.09,14.70%
            São João de Brito,609.27,608,6,22,53.38,5.2,7.20%,3060.09,5258,14.46,20.76,,104.4,10.20%
            São João de Deus,661.08,700,4.7,18,61.8,5.3,7.50%,6965.57,10596,13.08,19.06,685.7,114.75,8.30%
            São Jorge de Arroios,579.58,1454,3.3,14,65.87,4.9,9.90%,10324.15,15893.6,11.84,21.18,655.7,93.18,11.00%
            São José,523.27,292,2.9,13,78.85,4.4,13.80%,7124.47,8310.9,10.76,21.45,600,74.43,13.50%
