"","location","mean_rent","num_contracts","CBD_dist","CBD_mins","build_age","num_rooms","over_load","dens_household","dens_pop","commuters","tspend_commuters","month_cost","area","unemp_rate","rent_m2","l_rent_m2"
"1","            Alcabideche",452.29,1771,28.6,39,29.66,4.7,15.3,497.62,1060.2,26.3,24.03,649.6,103.57,12.7,4.36699816549194,1.47407585441905
"2","           Carcavelos",541.02,1052,21.8,32,34.72,4.7,8.9,2739.64,5177,54.6,28.77,634.8,104.29,10.4,5.18764982261003,1.64628076660675
"3","           Cascais",617.71,2294,26.2,35,31.69,5,12,1120.45,1742.4,33.8,26.64,726.6,115.69,12.1,5.33935517330798,1.67510489161857
"4","           Estoril",570.1,1511,25.9,34,37.34,4.9,11.5,1818.54,2987,39.86,27.95,675.1,112.52,12.7,5.06665481692144,1.62268080041588
"5","            Parede",552.41,929,23,37,37.72,4.9,9.2,3368.48,6016.4,47.03,29.14,744.2,111.03,10.9,4.97532198504909,1.60449008912915
"6","            São Domingos de Rana",458.51,1897,20.4,31,27.55,4.7,12.6,1279.59,2823.7,40.81,25.92,558.2,102.24,12.4,4.48464397496088,1.50065911108027
"7","            Ajuda",435.26,839,8,25,69.74,4.1,16.6,3109.08,5456.9,15.48,25.48,653.4,68.85,15.6,6.32185911401598,1.84401332851126
"8","            Alcântara",476.8,1046,5.9,24,73.12,4.3,14.3,2010.09,3142,14.19,23.72,679.9,75.79,11.4,6.29106742314289,1.8391307579272
"9","            Alto do Pina",532.86,534,3.8,15,50.43,4.6,11.6,7293.05,12319.6,12.79,21.58,498.9,97.8,10.7,5.44846625766871,1.6953341484577
"10","            Alvalade",619.46,575,5.4,20,56.7,4.9,7.8,9062.71,14898.5,13.25,19.94,740.6,105.22,8.7,5.8872837863524,1.77279473448176
"11","            Ameixoeira",392.64,487,12.9,27,38.88,4.3,16.1,3888.03,7391.6,15.36,27.87,391.6,87.82,16.7,4.47096333409246,1.49760389638898
"12","            Anjos",515.14,850,2.4,12,75.73,4.8,11.5,12429.28,19180.8,10.32,23.19,535.9,88.26,13.6,5.83661907999094,1.76415170453946
"13","            Beato",424.78,804,3.3,11,66.23,4.1,18.4,4715.21,7670.9,11.31,25.45,366,69.31,16.4,6.1286971576973,1.81298219191021
"14","            Benfica",506.82,1637,10.5,28,44.74,4.4,11.8,2673.89,4639.5,17.79,24.69,641.4,86.81,13.3,5.83826748070499,1.76443408856374
"15","            Campo Grande",595.33,367,7.3,23,47.43,4.9,8.5,2541.56,4296.1,14.49,20.3,566.7,102.68,9.7,5.79791585508376,1.75749851764558
"16","            Campolide",469.73,1089,3.7,16,61.21,4.2,15.5,3335.57,5571.9,12.91,22.2,612,78.96,12.6,5.94896149949342,1.78321666642376
"17","            Carnide",555.15,529,13.3,30,48.04,4.5,13.3,2747.08,5736.2,15.94,23.1,681.1,102.15,11,5.43465491923642,1.69279602623664
"18","            Castelo",359.81,39,1.2,8,32.09,3.7,17.5,6331.84,6440.7,17.79,25.65,NA,62.19,20,5.78565685801576,1.75538189923287
"19","            Charneca",375.48,504,16.4,27,36.83,4.3,22.4,2626.55,5866.6,13.93,28.96,574.2,81.48,18.1,4.60824742268041,1.52784761611019
"20","            Coração de Jesus",586.21,321,2.2,11,74.05,5.1,9.4,5178.1,6607.4,13.41,20.31,NA,94.32,9.7,6.2151187446989,1.8269848309264
"21","            Encarnação",497.92,210,1.9,13,95.32,4.6,10.8,12084.77,11920.7,11.95,20.99,87.5,82.06,11.1,6.06775530099927,1.80298873453593
"22","            Graça",470.67,496,3.2,13,85.64,4.4,12.9,11766.92,16507.9,9.69,24.9,598.9,73.03,14.2,6.44488566342599,1.86328689588096
"23","            Lapa",602.36,554,4.1,17,71.53,5.1,8.7,7155.11,10806.3,12.16,19.94,626.1,106.12,8.7,5.6762156049755,1.73628474394908
"24","            Lumiar",590.72,1241,12.8,27,30.46,4.7,8.5,3497.84,6705.6,15.46,22.89,643.4,109.49,8.1,5.39519590830213,1.6855089109891
"25","            Madalena",593.64,35,1.7,8,71.53,5.7,4.7,3244.72,3400.5,12.5,21.96,396.9,114.94,13.8,5.16478162519575,1.64186282194802
"26","            Mártires",683.65,26,0.5,4,51.66,5.3,4.4,3276.1,3738.4,15.04,21.21,683.2,126.79,6.5,5.39198674974367,1.68491391621523
"27","            Marvila",383.2,818,6.3,16,43.86,4.5,16.8,2616.98,5977.6,11.17,25.91,469.4,81.19,16.8,4.71979307796527,1.55176495922235
"28","            Mercês",508.97,429,2.3,16,96.83,4.5,14.1,12127.43,16203.5,10.53,21.68,566.1,80.67,13.9,6.30928474029999,1.8420223167684
"29","            Nossa Senhora de Fátima",604.55,820,4.3,18,52.13,5,10.6,5473.53,8011.1,13.22,19.36,546.4,107.96,9.5,5.59975917006299,1.72272359147045
"30","            Pena",475.49,579,2.4,11,84.05,4.4,15,7035.47,8971.3,11.95,23.57,716.7,73.6,14.4,6.46046195652174,1.86570082553525
"31","            Penha de França",518.93,1187,3.7,15,66.63,4.3,12.8,12173.83,18708.7,12.19,24.44,426.9,76.48,11.3,6.78517259414226,1.91473973056717
"32","            Prazeres",516.41,525,3.6,22,72.47,4.6,14.2,3158.48,5166.9,11.37,21.42,764,87.59,10.4,5.89576435666172,1.77423418744346
"33","            Sacramento",544.05,84,1.3,8,93,4.6,14.3,8056.97,8714.7,10.62,22.33,575,85.24,11.3,6.38256687001408,1.8535703471666
"34","            Santa Catarina",507.6,411,1.6,13,104.53,4.4,14.3,13893.83,17407.1,10.75,22.42,593.8,78.2,12.1,6.49104859335038,1.87042408828897
"35","            Santa Engrácia",434.42,483,3.6,13,69.81,4,15.1,6425.06,9543.1,12.41,25.78,691.7,67.41,12.6,6.44444444444444,1.8632184332102
"36","            Santa Isabel",575.44,594,4,17,82.72,4.7,10.9,6889.49,10964.2,11.7,19.63,830.4,97.58,9.1,5.89711006353761,1.77446241117141
"37","            Santa Justa",456.22,82,1.5,7,53.66,4.3,22.4,2677.04,3614,5.44,22.04,NA,72.06,14.1,6.33111296142104,1.84547604399025
"38","            Santa Maria de Belém",548.5,518,7.6,25,65.52,4.9,9.8,1536.56,2488.9,19.07,22.52,774,101.31,9.5,5.41407560951535,1.6890021566497
"39","            Santa Maria dos Olivais",530.68,1214,9.6,22,43.34,4.8,10.5,2325.07,4548.5,16.39,24.05,636.7,97.2,12.1,5.459670781893,1.69738849158232
"40","            Santiago",435.22,58,1,7,93.5,4.3,17.9,8617.49,9542.4,12.41,26.53,NA,67.79,11,6.42012096179378,1.85943695892527
"41","            Santo Condestável",535.97,1201,3.8,16,65.14,4.3,12.4,9239.9,14847.1,12.95,21.52,754.4,78.18,11.5,6.85558966487593,1.92506432899035
"42","            Santo Estêvão",391.2,245,1.1,7,99.25,3.5,21.9,7723.84,7428.9,10.09,25.45,NA,51.06,14.9,7.66157461809636,2.03621752634732
"43","            Santos-o-Velho",524.69,486,2.7,18,95.15,4.6,14.4,5456.6,7569.2,11.53,22.81,725,84.6,13.1,6.20200945626478,1.82487334538925
"44","            São Cristóvão e São Lourenço",409.41,145,1.8,10,88.32,3.9,18.6,14050.02,17190.8,10.18,24.2,NA,60.8,17,6.73371710526316,1.90712730994601
