,location,mean_rent,num_contracts,CBD_dist,CBD_mins,build_age,num_rooms,over_load,dens_household,dens_pop,commuters,tspend_commuters,month_cost,area,unemp_rate,new_households_5,area_D,higher_edu,num_jobs,dens_jobs,shore,urban_intens,shower,heat,AC,no_heat,shacks,sharing,contract_km2,rent_house,rent_house_nosoc,leave_school,Total_empty,Total_sale,Total_rent,Total_demoliton,percent_empty,percent_sale,percent_rent,percent_demolition,complex_rents_newincomers,empty_per_contracts,scholar_years,percent.social_value_professionals,rent_m2
1,            Alcabideche,452.29,1771,28.6,39,29.66,4.7,0.152978016,497.62,1060.2,26.3,24.03,649.6,103.57,0.126880904,10.3,39.77,18.18,9516,239.3,1,1299.5,0.010,0.120,0.090,0.140,0.004,0.008,44.5,0.277187031,0.239611194,1.57,2443,828,485,57,0.07,0.04,0.02,0.00,26.67766777,0.273856578,10.34646252,23.79,4.366998165
2,           Carcavelos,541.02,1052,21.8,32,34.72,4.7,0.089469437,2739.64,5177,54.6,28.77,634.8,104.29,0.104057481,16.6,4.51,37.66,3136,695.3,1,5872.3,0.000,0.140,0.120,0.100,0.002,0.010,233.3,0.194775066,0.187512608,1.53,1149,248,132,12,0.03,0.02,0.01,0.00,3.505045141,0.125475285,13.60879254,43.46,5.187649823
3,           Cascais,617.71,2294,26.2,35,31.69,5,0.119597641,1120.45,1742.4,33.8,26.64,726.6,115.69,0.120580883,12.2,20.32,33.19,9319,458.6,1,2201,0.010,0.150,0.130,0.110,0.001,0.013,112.9,0.293583073,0.274505723,1.46,3711,896,692,40,0.07,0.04,0.03,0.00,20.84965351,0.301656495,12.67404938,40.63,5.339355173
4,           Estoril,570.1,1511,25.9,34,37.34,4.9,0.115416024,1818.54,2987,39.86,27.95,675.1,112.52,0.127203003,13.2,8.84,34.78,4817,544.9,1,3531.9,0.010,0.120,0.110,0.110,0.001,0.018,170.9,0.273659378,0.261047092,1.76,2680,636,339,11,0.06,0.04,0.02,0.00,9.746981024,0.224354732,12.96058137,42.2,5.066654817
5,            Parede,552.41,929,23,37,37.72,4.9,0.091946383,3368.48,6016.4,47.03,29.14,744.2,111.03,0.108543899,14.1,3.6,36.91,4970,1380.6,1,7397,0.000,0.190,0.130,0.090,0.002,0.022,258.1,0.245485765,0.239282154,1.58,1194,257,148,35,0.04,0.02,0.01,0.00,4.009753454,0.159311087,13.29044276,45.35,4.975321985
6,            Sao Domingos de Rana,458.51,1897,20.4,31,27.55,4.7,0.125508506,1279.59,2823.7,40.81,25.92,558.2,102.24,0.123821851,11.4,20.36,20.55,9207,452.2,0,3275.9,0.010,0.130,0.090,0.130,0.002,0.010,93.2,0.194850222,0.174140163,1.85,2507,736,373,31,0.04,0.03,0.01,0.00,18.15085158,0.196626252,10.82360136,25.65,4.484643975
7,            Ajuda,435.26,839,8,25,69.74,4.1,0.166280081,3109.08,5456.9,15.48,25.48,653.4,68.85,0.15576658,8.6,2.86,16.63,2234,781.1,0,6238,0.020,0.030,0.070,0.200,0.001,0.020,293.4,0.484778197,0.420556683,3.36,875,187,197,24,0.05,0.02,0.02,0.00,11.84606133,0.234803337,9.361685099,24.93,6.321859114
8,            Alcantara,476.8,1046,5.9,24,73.12,4.3,0.143120393,2010.09,3142,14.19,23.72,679.9,75.79,0.113928062,12.2,4.44,27.2,6519,1468.2,1,4610.2,0.020,0.070,0.090,0.180,0.002,0.018,235.6,0.519809582,0.491707617,1.15,1430,222,531,3,0.09,0.02,0.06,0.00,19.52205882,0.507648184,11.18525136,36.93,6.291067423
9,            Alto do Pina,532.86,534,3.8,15,50.43,4.6,0.116491854,7293.05,12319.6,12.79,21.58,498.9,97.8,0.107044471,10.1,0.84,38.94,6570,7821.4,0,20141,0.010,0.060,0.180,0.110,0.000,0.060,635.7,0.359071636,0.300156215,2.35,844,91,211,4,0.05,0.01,0.03,0.00,5.418592707,0.395131086,12.94252367,48.13,5.448466258
10,            Alvalade,619.46,575,5.4,20,56.7,4.9,0.078474247,9062.71,14898.5,13.25,19.94,740.6,105.22,0.086746375,10.6,0.6,47.54,8956,14926.7,0,29825.2,0.000,0.070,0.180,0.090,0.000,0.031,958.3,0.473760933,0.464285714,1.92,708,55,92,13,0.03,0.01,0.02,0.00,1.935212453,0.16,14.38223298,58.3,5.887283786
11,            Ameixoeira,392.64,487,12.9,27,38.88,4.3,0.160831742,3888.03,7391.6,15.36,27.87,391.6,87.82,0.167407661,13.3,1.6,24.76,1856,1160,0,8551.6,0.010,0.040,0.110,0.190,0.002,0.020,304.4,0.429238277,0.29726289,3.02,976,261,124,0,0.06,0.04,0.02,0.00,5.008077544,0.254620123,10.83382759,29.23,4.470963334
12,            Anjos,515.14,850,2.4,12,75.73,4.8,0.115033622,12429.28,19180.8,10.32,23.19,535.9,88.26,0.136039732,14.8,0.49,26.94,3586,7318.4,0,26499.2,0.010,0.040,0.070,0.200,0.001,0.143,1734.7,0.515129683,0.501440922,1.08,1251,117,322,35,0.08,0.02,0.05,0.01,11.95248701,0.378823529,11.49563554,35.49,5.83661908
13,            Beato,424.78,804,3.3,11,66.23,4.1,0.18372135,4715.21,7670.9,11.31,25.45,366,69.31,0.164091636,8.8,1.62,18.12,2257,1393.2,1,9064.1,0.010,0.020,0.070,0.210,0.001,0.037,496.3,0.515069482,0.415087529,2.89,1301,122,181,44,0.05,0.02,0.02,0.01,9.988962472,0.225124378,9.672587438,23.94,6.128697158
14,            Benfica,506.82,1637,10.5,28,44.74,4.4,0.117821662,2673.89,4639.5,17.79,24.69,641.4,86.81,0.13301778,10.4,7.94,30.4,10467,1318.3,0,5957.8,0.000,0.050,0.130,0.140,0.000,0.024,206.2,0.350860189,0.282045069,2.1,2486,470,336,14,0.04,0.02,0.02,0.00,11.05263158,0.205253513,11.76607955,39.9,5.838267481
15,            Campo Grande,595.33,367,7.3,23,47.43,4.9,0.084901532,2541.56,4296.1,14.49,20.3,566.7,102.68,0.096818811,11.6,2.45,42.62,10752,4388.6,0,8684.7,0.000,0.110,0.240,0.110,0.000,0.034,149.8,0.260393873,0.206564551,1.62,744,146,122,11,0.05,0.02,0.02,0.00,2.862505866,0.332425068,13.37290181,52.72,5.797915855
16,            Campolide,469.73,1089,3.7,16,61.21,4.2,0.154991643,3335.57,5571.9,12.91,22.2,612,78.96,0.125575555,11.6,2.77,26.1,8565,3092.1,0,8664,0.030,0.100,0.120,0.180,0.002,0.032,393.1,0.480626045,0.435496125,1.76,1636,157,479,46,0.07,0.02,0.05,0.00,18.35249042,0.439853076,10.89913566,35.93,5.948961499
17,            Carnide,555.15,529,13.3,30,48.04,4.5,0.132842973,2747.08,5736.2,15.94,23.1,681.1,102.15,0.110367042,8.8,4.07,42.35,8756,2151.4,0,7887.6,0.010,0.180,0.200,0.130,0.000,0.018,130,0.309706898,0.13317731,1.72,1125,262,285,54,0.05,0.02,0.03,0.00,6.729634002,0.538752363,12.98536486,50.47,5.434654919
18,            Castelo,359.81,39,1.2,8,32.09,3.7,0.174603175,6331.84,6440.7,17.79,25.65,NA,62.19,0.2,8.5,0.06,14.8,109,1816.7,0,8257.4,0.030,0.020,0.010,0.250,0.005,0.010,650,0.835978836,0.793650794,2.07,136,5,76,1,0.24,0.01,0.22,0.00,5.135135135,1.948717949,8.963525836,26.56,5.785656858
19,            Charneca,375.48,504,16.4,27,36.83,4.3,0.224270776,2626.55,5866.6,13.93,28.96,574.2,81.48,0.180682764,10.5,1.72,17.58,371,215.7,0,6082.3,0.010,0.050,0.040,0.270,0.004,0.013,293,0.597963676,0.40038525,3.47,594,46,74,0,0.03,0.01,0.02,0.00,4.209328783,0.146825397,9.09351979,23.7,4.608247423
20,            Coracao de Jesus,586.21,321,2.2,11,74.05,5.1,0.094276094,5178.1,6607.4,13.41,20.31,NA,94.32,0.096523093,16,0.56,39.92,15376,27457.1,0,34064.5,0.010,0.050,0.120,0.170,0.001,0.122,573.2,0.505611672,0.496071829,2.07,657,97,170,13,0.10,0.03,0.06,0.00,4.258517034,0.529595016,13.24932249,48.42,6.215118745
21,            Encarnacao,497.92,210,1.9,13,95.32,4.6,0.108010801,12084.77,11920.7,11.95,20.99,87.5,82.06,0.110720562,13.7,0.19,31.16,2769,14573.7,0,26494.4,0.030,0.090,0.090,0.240,0.003,0.078,1105.3,0.582358236,0.566156616,1.27,795,119,205,9,0.15,0.05,0.09,0.00,6.578947368,0.976190476,11.50616067,43.77,6.067755301
22,            Graca,470.67,496,3.2,13,85.64,4.4,0.128936643,11766.92,16507.9,9.69,24.9,598.9,73.03,0.142043297,11.2,0.35,22.72,1020,2914.3,0,19422.2,0.020,0.030,0.060,0.190,0.000,0.043,1417.1,0.599851797,0.572804742,2.35,971,52,337,23,0.10,0.01,0.08,0.01,14.83274648,0.679435484,10.35990712,32.93,6.444885663
