"","location","mean_rent","num_contracts","CBD_dist","CBD_mins","build_age","num_rooms","over_load","dens_household","dens_pop","commuters","tspend_commuters","month_cost","area","unemp_rate","new_households_5","area_D","higher_edu","num_jobs","dens_jobs","shore","rent_m2"
"1","            Alcabideche",452.29,1771,28.6,39,29.66,4.7,0.152978016,497.62,1060.2,26.3,24.03,649.6,103.57,0.126880904,10.3,39.77,18.18,9516,239.3,1,4.36699816549194
"2","           Carcavelos",541.02,1052,21.8,32,34.72,4.7,0.089469437,2739.64,5177,54.6,28.77,634.8,104.29,0.104057481,16.6,4.51,37.66,3136,695.3,1,5.18764982261003
"3","           Cascais",617.71,2294,26.2,35,31.69,5,0.119597641,1120.45,1742.4,33.8,26.64,726.6,115.69,0.120580883,12.2,20.32,33.19,9319,458.6,1,5.33935517330798
"4","           Estoril",570.1,1511,25.9,34,37.34,4.9,0.115416024,1818.54,2987,39.86,27.95,675.1,112.52,0.127203003,13.2,8.84,34.78,4817,544.9,1,5.06665481692144
"5","            Parede",552.41,929,23,37,37.72,4.9,0.091946383,3368.48,6016.4,47.03,29.14,744.2,111.03,0.108543899,14.1,3.6,36.91,4970,1380.6,1,4.97532198504909
"6","            Sao Domingos de Rana",458.51,1897,20.4,31,27.55,4.7,0.125508506,1279.59,2823.7,40.81,25.92,558.2,102.24,0.123821851,11.4,20.36,20.55,9207,452.2,0,4.48464397496088
"7","            Ajuda",435.26,839,8,25,69.74,4.1,0.166280081,3109.08,5456.9,15.48,25.48,653.4,68.85,0.15576658,8.6,2.86,16.63,2234,781.1,0,6.32185911401598
"8","            Alcantara",476.8,1046,5.9,24,73.12,4.3,0.143120393,2010.09,3142,14.19,23.72,679.9,75.79,0.113928062,12.2,4.44,27.2,6519,1468.2,1,6.29106742314289
"9","            Alto do Pina",532.86,534,3.8,15,50.43,4.6,0.116491854,7293.05,12319.6,12.79,21.58,498.9,97.8,0.107044471,10.1,0.84,38.94,6570,7821.4,0,5.44846625766871
"10","            Alvalade",619.46,575,5.4,20,56.7,4.9,0.078474247,9062.71,14898.5,13.25,19.94,740.6,105.22,0.086746375,10.6,0.6,47.54,8956,14926.7,0,5.8872837863524
"11","            Ameixoeira",392.64,487,12.9,27,38.88,4.3,0.160831742,3888.03,7391.6,15.36,27.87,391.6,87.82,0.167407661,13.3,1.6,24.76,1856,1160,0,4.47096333409246
"12","            Anjos",515.14,850,2.4,12,75.73,4.8,0.115033622,12429.28,19180.8,10.32,23.19,535.9,88.26,0.136039732,14.8,0.49,26.94,3586,7318.4,0,5.83661907999094
"13","            Beato",424.78,804,3.3,11,66.23,4.1,0.18372135,4715.21,7670.9,11.31,25.45,366,69.31,0.164091636,8.8,1.62,18.12,2257,1393.2,1,6.1286971576973
"14","            Benfica",506.82,1637,10.5,28,44.74,4.4,0.117821662,2673.89,4639.5,17.79,24.69,641.4,86.81,0.13301778,10.4,7.94,30.4,10467,1318.3,0,5.83826748070499
"15","            Campo Grande",595.33,367,7.3,23,47.43,4.9,0.084901532,2541.56,4296.1,14.49,20.3,566.7,102.68,0.096818811,11.6,2.45,42.62,10752,4388.6,0,5.79791585508376
"16","            Campolide",469.73,1089,3.7,16,61.21,4.2,0.154991643,3335.57,5571.9,12.91,22.2,612,78.96,0.125575555,11.6,2.77,26.1,8565,3092.1,0,5.94896149949342
"17","            Carnide",555.15,529,13.3,30,48.04,4.5,0.132842973,2747.08,5736.2,15.94,23.1,681.1,102.15,0.110367042,8.8,4.07,42.35,8756,2151.4,0,5.43465491923642
